czas,czujnik1,czujnik2
  1993,99519.80,102731.44
  2002,99519.64,102731.20
  2010,99520.05,102731.56
  2019,99519.59,102732.17
  2028,99519.64,102731.73
  2035,99520.09,102730.83
  2044,99519.86,102731.41
  2053,99519.39,102731.58
  2062,99519.86,102731.64
  2070,99520.33,102731.81
  2078,99519.41,102731.56
  2086,99519.52,102731.34
  2095,99519.42,102731.75
  2103,99519.61,102731.41
  2111,99519.05,102731.56
  2120,99518.94,102731.34
  2129,99518.94,102731.34
  2137,99518.16,102730.86
  2145,99518.95,102731.25
  2154,99518.86,102731.02
  2162,99518.36,102730.55
  2170,99517.95,102730.67
  2179,99518.28,102730.59
  2188,99517.44,102730.50
  2195,99517.88,102730.02
  2204,99517.39,102730.20
  2213,99517.16,102730.23
  2221,99517.33,102730.39
  2230,99516.92,102729.88
  2238,99517.69,102730.50
  2247,99517.81,102730.27
  2255,99517.97,102730.30
  2265,99518.12,102730.78
  2273,99517.61,102731.12
  2281,99518.30,102731.11
  2288,99518.53,102731.45
  2297,99518.83,102731.42
  2306,99519.42,102731.81
  2314,99519.42,102732.06
  2322,99519.58,102731.81
  2331,99519.78,102732.00
  2339,99520.50,102732.34
  2348,99519.81,102732.16
  2356,99520.38,102732.00
  2365,99521.12,102732.45
  2373,99520.81,102732.64
  2382,99520.97,102731.97
  2389,99520.70,102732.73
  2398,99521.17,102732.31
  2407,99520.62,102732.66
  2416,99520.83,102732.45
  2423,99520.98,102732.39
  2432,99520.75,102732.44
  2441,99520.64,102732.02
  2449,99520.55,102732.48
  2457,99520.92,102732.20
  2466,99520.05,102732.08
  2474,99519.98,102732.39
  2483,99519.78,102731.98
  2492,99519.41,102731.92
  2499,99519.55,102732.03
  2509,99518.81,102731.92
  2517,99518.91,102731.33
  2525,99518.55,102731.17
  2533,99519.02,102731.48
  2541,99518.62,102731.16
  2550,99518.44,102730.95
  2559,99518.52,102730.95
  2567,99518.08,102730.80
  2576,99518.23,102730.98
  2583,99518.36,102731.06
  2592,99518.30,102731.12
  2601,99518.55,102731.22
  2609,99518.72,102731.16
  2618,99518.30,102731.48
  2626,99518.77,102731.17
  2635,99519.05,102731.27
  2643,99519.55,102731.77
  2652,99520.31,102731.88
  2660,99520.39,102732.42
  2669,99520.41,102732.17
  2677,99520.58,102732.53
  2685,99520.92,102733.00
  2694,99520.53,102733.31
  2701,99521.38,102733.23
  2710,99521.42,102732.86
  2719,99521.44,102733.30
  2727,99521.41,102733.30
  2736,99522.05,102733.61
  2744,99522.28,102733.50
  2753,99522.06,102733.42
  2761,99522.02,102733.42
  2770,99521.61,102733.73
  2779,99521.84,102733.81
  2787,99522.11,102734.08
  2795,99521.59,102733.48
  2804,99521.73,102733.72
  2813,99521.72,102733.50
  2821,99521.14,102733.28
  2829,99520.75,102733.48
  2838,99520.81,102733.14
  2845,99521.16,102732.91
  2855,99520.95,102732.73
  2863,99520.22,102733.09
  2871,99520.20,102732.52
  2880,99519.55,102732.62
  2888,99520.23,102732.64
  2897,99519.59,102732.41
  2904,99519.38,102731.80
  2913,99519.30,102731.80
  2921,99519.42,102732.25
  2930,99519.31,102732.42
  2938,99519.50,102732.58
  2947,99519.86,102733.06
  2955,99520.20,102732.97
  2964,99519.95,102733.16
  2972,99520.42,102733.11
  2980,99520.69,102733.25
  2989,99520.69,102733.62
  2997,99521.17,102734.17
  3006,99521.33,102734.25
  3013,99521.41,102733.81
  3023,99521.98,102733.83
  3030,99521.70,102734.73
  3039,99521.64,102734.39
  3048,99521.84,102734.48
  3056,99522.58,102734.23
  3065,99522.02,102734.38
  3073,99521.98,102733.92
  3081,99521.77,102734.45
  3090,99522.02,102734.95
  3098,99522.30,102734.03
  3107,99521.41,102734.27
  3115,99521.89,102734.14
  3123,99521.95,102734.27
  3132,99521.67,102734.19
  3141,99521.77,102734.09
  3149,99521.45,102734.02
  3157,99521.58,102733.89
  3166,99520.73,102734.12
