		sensor 1
		sensor 2
		sensor 1
		sensor 2
  5303;100010.94;102003.62
  5326;100010.58;102003.70
  5348;100011.17;102003.53
  5372;100010.64;102002.27
  5395;100010.62;102003.02
  5418;100011.11;102002.08
  5441;100010.92;102003.02
  5465;100010.89;102001.56
  5488;100011.31;102000.28
  5510;100010.69;102001.33
  5534;100011.36;102000.56
  5557;100010.92;101999.75
  5580;100010.80;102000.31
  5604;100010.91;101999.38
  5627;100011.25;101999.94
  5650;100010.97;101998.92
  5672;100011.23;101998.08
  5696;100011.66;101997.47
  5719;100010.66;101998.53
  5742;100010.98;101998.16
  5766;100011.19;101997.55
  5789;100010.83;101997.12
  5812;100010.62;101997.05
  5835;100010.56;101997.14
  5859;100010.67;101996.91
  5881;100010.69;101996.73
  5904;100010.84;101995.70
  5928;100011.38;101995.58
  5951;100011.16;101994.84
  5974;100011.19;101995.25
  5997;100011.05;101995.62
  6021;100011.12;101994.05
  6044;100010.89;101993.95
  6066;100010.98;101993.30
  6089;100011.23;101993.48
  6113;100011.14;101992.92
  6136;100010.97;101993.22
  6159;100011.12;101992.91
  6183;100010.73;101992.36
  6206;100011.09;101991.72
  6229;100011.00;101991.92
  6253;100011.23;101991.52
  6275;100010.69;101990.84
  6298;100011.16;101990.48
  6321;100011.00;101991.00
  6345;100011.03;101990.25
  6368;100011.34;101990.36
  6391;100011.14;101989.94
  6415;100010.88;101989.62
  6437;100011.22;101990.27
  6460;100010.81;101988.48
  6483;100011.23;101988.55
  6507;100011.44;101988.36
  6530;100011.19;101988.28
  6553;100010.56;101987.36
  6577;100010.81;101986.02
  6600;100010.95;101987.23
  6622;100011.39;101987.00
  6646;100011.17;101986.25
  6669;100010.92;101986.47
  6692;100011.16;101985.17
  6716;100010.84;101985.11
  6739;100010.62;101985.78
  6761;100011.44;101984.61
  6785;100010.73;101984.69
  6808;100011.31;101984.80
  6831;100010.95;101983.39
  6854;100010.88;101984.12
  6878;100011.03;101984.30
  6900;100011.23;101982.59
  6924;100011.02;101983.59
  6946;100011.42;101982.75
  6970;100011.64;101982.27
  6993;100010.95;101981.39
  7016;100011.08;101982.17
  7040;100011.56;101982.33
  7062;100011.14;101981.69
  7087;100010.59;101981.12
  7109;100011.66;101980.39
  7132;100011.50;101978.84
  7155;100011.23;101981.23
  7179;100011.33;101979.66
  7202;100011.39;101979.98
  7226;100010.94;101978.45
  7248;100010.94;101977.86
  7271;100011.30;101978.38
  7294;100010.83;101978.81
  7318;100011.08;101978.38
  7341;100011.30;101978.09
  7364;100011.52;101978.03
  7387;100011.11;101978.08
  7410;100011.45;101976.59
