		sensor 1
		sensor 2
		sensor 1
		sensor 2
Connecting to server... 
Connected to server at 192.168.100.10:5000
  1960;97694.09;107514.06
  1969;97694.56;107514.31
  1977;97694.30;107514.14
  1986;97694.20;107514.16
  1994;97693.23;107514.20
  2002;97693.98;107514.16
  2011;97694.03;107514.17
  2019;97693.69;107514.06
  2028;97694.08;107514.53
  2036;97694.06;107514.19
  2045;97694.25;107514.25
  2052;97694.14;107514.06
  2061;97694.11;107514.03
  2069;97694.22;107514.53
  2078;97693.61;107514.27
  2086;97693.94;107514.27
  2095;97694.12;107513.92
  2103;97694.45;107514.53
  2112;97693.95;107514.17
  2120;97694.20;107514.34
  2129;97693.72;107514.36
  2138;97694.38;107514.11
  2145;97693.92;107514.11
  2154;97693.86;107514.27
  2163;97694.30;107514.36
  2172;97694.47;107514.06
  2180;97693.97;107514.16
  2189;97693.78;107513.95
  2197;97693.91;107514.33
  2205;97694.16;107514.09
  2213;97694.34;107514.61
  2222;97694.17;107514.12
  2230;97694.06;107514.20
  2238;97693.98;107514.16
  2247;97693.88;107514.14
  2255;97694.56;107514.16
  2264;97694.14;107514.38
  2272;97693.88;107514.31
  2281;97694.02;107514.28
  2289;97694.03;107514.16
  2298;97693.62;107514.20
  2306;97693.97;107514.27
  2314;97693.98;107514.02
  2323;97694.19;107514.55
  2331;97693.77;107514.33
  2340;97694.44;107514.06
  2348;97693.86;107514.09
  2357;97694.16;107514.45
  2365;97693.86;107514.09
  2373;97693.86;107514.33
  2382;97694.25;107514.38
  2390;97694.23;107514.39
  2398;97693.91;107514.16
  2407;97693.81;107514.16
  2416;97694.58;107514.03
  2423;97694.00;107514.08
  2432;97694.08;107514.14
  2441;97693.91;107514.75
  2449;97694.31;107514.20
  2458;97694.14;107514.03
  2466;97694.48;107514.14
  2474;97694.33;107514.42
  2483;97694.38;107514.03
  2491;97694.05;107514.20
  2500;97693.44;107514.06
  2508;97694.25;107514.16
  2516;97694.02;107514.22
  2525;97693.77;107514.16
  2533;97693.53;107514.11
  2542;97694.03;107514.14
  2551;97694.61;107514.23
  2558;97694.17;107514.17
  2567;97694.06;107513.95
  2575;97693.70;107514.20
  2584;97693.70;107514.19
  2593;97693.80;107514.31
  2600;97693.67;107514.12
  2609;97693.58;107514.55
  2617;97694.20;107514.45
  2626;97693.94;107514.42
  2635;97693.98;107514.16
  2642;97694.06;107513.88
  2651;97693.72;107514.14
  2660;97693.72;107514.02
  2668;97694.33;107514.14
  2677;97694.03;107514.06
  2685;97693.89;107513.61
  2694;97693.94;107514.00
  2702;97693.80;107514.33
  2710;97694.06;107514.03
  2718;97693.55;107513.92
  2727;97694.16;107514.00
  2736;97693.73;107514.05
  2744;97694.28;107514.36
  2752;97693.55;107514.16
  2761;97693.81;107514.30
  2769;97693.77;107513.89
  2778;97693.83;107513.56
  2786;97693.58;107514.19
  2795;97693.77;107514.27
  2803;97694.38;107513.88
  2812;97693.88;107513.81
  2820;97694.20;107513.91
  2829;97693.17;107514.23
  2837;97693.97;107514.08
  2845;97693.62;107514.33
  2854;97693.89;107514.20
  2862;97694.17;107514.16
  2871;97693.89;107513.91
  2879;97693.86;107514.06
  2887;97693.97;107513.98
  2896;97693.78;107513.95
  2904;97693.42;107514.27
  2913;97694.00;107514.12
  2921;97694.17;107513.83
  2929;97694.03;107514.33
  2938;97693.69;107513.98
  2946;97693.92;107513.94
  2955;97693.70;107514.50
  2963;97693.53;107513.98
  2972;97694.06;107514.02
  2980;97693.48;107514.23
  2989;97693.72;107514.09
  2997;97693.78;107514.09
  3005;97693.53;107514.61
  3014;97693.58;107513.92
  3023;97693.67;107514.02
  3032;97693.47;107514.19
  3040;97693.52;107514.16
  3048;97694.12;107514.17
  3057;97693.91;107513.70
  3064;97693.86;107514.38
  3073;97693.73;107514.14
  3081;97693.77;107514.08
  3089;97693.95;107514.20
  3099;97693.67;107514.00
  3107;97693.12;107514.16
  3115;97693.56;107513.92
  3124;97693.62;107513.91
  3132;97694.19;107514.14
  3141;97694.11;107513.97
  3149;97694.08;107514.14
  3157;97693.02;107514.02
  3166;97693.66;107514.03
  3174;97693.48;107513.81
  3182;97693.61;107513.98
  3190;97693.80;107513.80
  3199;97693.56;107514.05
  3207;97693.66;107514.28
  3216;97693.80;107513.95
  3224;97693.67;107514.00
  3232;97694.09;107514.25
  3241;97693.39;107513.66
  3249;97693.64;107514.17
  3258;97693.67;107513.95
  3267;97693.77;107513.75
  3274;97693.64;107514.08
  3283;97694.27;107514.06
  3292;97693.80;107514.08
  3300;97694.48;107514.09
  3309;97693.36;107513.83
  3318;97693.73;107514.09
  3325;97693.70;107513.80
  3333;97693.31;107513.98
  3343;97693.61;107513.81
  3350;97694.11;107513.78
  3359;97693.98;107514.06
  3368;97693.86;107513.69
  3376;97694.06;107513.91
  3385;97693.42;107513.95
  3393;97693.39;107513.97
  3402;97693.62;107513.95
  3410;97694.02;107513.66
  3418;97694.00;107514.02
  3427;97693.38;107514.14
  3435;97693.89;107513.69
  3444;97693.95;107514.16
  3452;97693.42;107513.86
  3461;97693.06;107513.73
  3468;97693.75;107513.83
  3478;97693.81;107513.86
  3486;97694.02;107514.12
  3494;97693.89;107513.84
  3502;97693.48;107514.02
  3511;97693.98;107513.92
  3519;97693.67;107513.88
  3528;97693.41;107514.17
  3536;97694.11;107514.12
  3545;97694.06;107513.62
  3553;97693.48;107513.72
  3562;97693.20;107513.78
  3570;97694.08;107513.70
  3578;97693.36;107514.05
  3586;97693.59;107513.95
  3595;97693.64;107513.98
  3604;97693.95;107514.12
  3612;97693.50;107514.14
  3621;97693.72;107514.12
  3628;97694.08;107513.83
  3637;97693.38;107513.81
  3645;97693.34;107513.72
  3654;97692.98;107514.06
  3662;97693.41;107514.31
  3671;97693.78;107513.72
  3679;97693.16;107513.83
  3688;97693.59;107513.62
  3696;97693.83;107513.89
  3705;97693.86;107513.88
  3713;97693.94;107513.59
  3722;97693.78;107514.02
  3730;97693.56;107513.97
  3739;97693.64;107513.80
  3746;97693.42;107514.34
  3755;97693.61;107513.94
  3763;97693.55;107513.66
  3772;97693.89;107513.78
  3780;97693.61;107513.77
  3789;97693.59;107513.88
  3797;97693.36;107513.67
  3806;97693.73;107513.78
  3814;97693.58;107513.66
  3823;97693.86;107514.30
  3831;97694.16;107513.94
  3840;97693.58;107513.98
  3848;97693.69;107514.33
  3856;97693.22;107513.47
  3865;97693.38;107513.55
  3873;97693.77;107513.61
  3881;97693.75;107513.78
  3890;97693.42;107513.64
  3898;97693.58;107513.64
  3906;97693.53;107513.92
  3915;97693.89;107514.09
  3924;97693.38;107513.78
  3932;97693.27;107513.88
  3941;97693.42;107513.59
  3949;97692.81;107513.97
  3958;97693.77;107513.75
